control_id,category,description,baseline_pass,remediated_pass,remediation_action
1.1,Filesystem,"Separate partition/mount option for /tmp with noexec,nosuid",False,True,"Remounted /tmp with noexec,nosuid,nodev in /etc/fstab"
1.2,Filesystem,Automatic mounting of USB storage disabled,False,True,Blacklisted usb-storage kernel module
1.3,Filesystem,World-writable files and directories reviewed and corrected,False,True,Removed world-write bit from 8 files found under /opt/erp-integration
1.4,Filesystem,No unowned files or directories exist on the system,True,True,
2.1,Services,"Unused network services (telnet, rsh, tftp) removed or disabled",False,True,"Purged telnetd, rsh-server, tftpd-hpa packages"
2.2,Services,Legacy time synchronization service (ntpd) replaced with chrony,False,True,Migrated to chrony with authenticated NTP sources
2.3,Services,"Unnecessary services disabled at boot (cups, avahi-daemon on a headless server)",False,True,"Disabled and masked cups.service, avahi-daemon.service"
2.4,Services,Mail transfer agent configured for local-only delivery (no listening MTA),True,True,
3.1,Network,IP forwarding disabled unless the host is a router,True,True,
3.2,Network,ICMP redirect acceptance disabled,False,True,Set net.ipv4.conf.all.accept_redirects=0 in /etc/sysctl.d/99-hardening.conf
3.3,Network,Reverse path filtering enabled,False,True,Set net.ipv4.conf.all.rp_filter=1
3.4,Network,Host-based firewall (ufw/iptables) enabled with default-deny inbound,False,True,"Enabled ufw, default deny incoming, explicit allow for the integration API port and SSH from the jump host only"
4.1,Logging & Auditing,"Auditd installed, enabled, and running",False,True,Installed and enabled auditd with a baseline ruleset
4.2,Logging & Auditing,Audit log storage size and retention configured,False,True,"Set max_log_file and num_logs in /etc/audit/auditd.conf, forwarded to central log server"
4.3,Logging & Auditing,System boot messages / dmesg restricted to root,True,True,
4.4,Logging & Auditing,rsyslog configured to forward logs to a remote log host,False,True,Added remote forwarding rule to rsyslog.conf
5.1,Access & SSH,SSH root login disabled,False,True,Set PermitRootLogin no in sshd_config
5.2,Access & SSH,SSH password authentication disabled (key-based only),False,True,Set PasswordAuthentication no; distributed keys to authorized administrators first
5.3,Access & SSH,SSH idle session timeout configured,False,True,"Set ClientAliveInterval 300, ClientAliveCountMax 2"
5.4,Access & SSH,SSH protocol restricted to strong ciphers/MACs only,False,True,"Restricted Ciphers/MACs/KexAlgorithms to modern, strong options in sshd_config"
5.5,Access & SSH,Accounts with empty passwords disabled,False,True,Locked 2 service accounts found with empty passwords; assigned random passwords + disabled interactive login
5.6,Access & SSH,Password complexity and history policy enforced (pam_pwquality),False,True,"Configured pam_pwquality minlen=14, remember=5"
6.1,System Maintenance,"System file permissions on critical files (/etc/passwd, /etc/shadow) correct",True,True,
6.2,System Maintenance,Automatic security updates enabled (unattended-upgrades),False,True,Installed and configured unattended-upgrades for security-only patches
6.3,System Maintenance,Legacy TLS 1.0/1.1 disabled on the integration API endpoint,False,False,"RISK ACCEPTED: one EDI trading partner's legacy client cannot yet negotiate TLS 1.2+; tracked as a time-boxed exception, partner migration scheduled next quarter"
